order_id,date,supplier,category,warehouse,order_qty,unit_cost,order_value,lead_time_days,expected_lead_days,on_time_delivery,defect_qty,defect_rate
ORD0107,2025-08-29,BakeryDirect,Bakery,Dandenong,326,2.8,947.65,1,1,0,3,0.03
ORD0108,2025-07-28,BakeryDirect,Bakery,Tullamarine,79,2.8,224.03,1,1,1,6,0.06
ORD0109,2025-10-13,SnackHouse,Snacks,Dandenong,147,2.1,315.75,6,5,1,0,0.0
ORD0110,2025-10-02,Pacific Produce,Produce,Dandenong,216,3.5,773.9,3,2,1,9,0.09
ORD0111,2025-09-06,FreshFarm Co,Produce,Tullamarine,320,3.5,1157.7,1,2,1,6,0.06
ORD0112,2025-07-24,Pacific Produce,Produce,Tullamarine,95,3.5,344.86,2,2,1,11,0.11
ORD0113,2025-10-13,ColdChain Dairy,Dairy,Laverton,370,4.2,1549.69,2,1,1,4,0.04
ORD0114,2025-07-20,DrinksCo,Beverages,Tullamarine,279,1.9,542.41,5,4,1,5,0.05
ORD0115,2025-08-20,ColdChain Dairy,Dairy,Tullamarine,50,4.2,211.03,1,1,1,4,0.04
ORD0116,2025-07-23,FreshFarm Co,Produce,Tullamarine,56,3.5,198.96,2,2,1,8,0.08
ORD0117,2025-08-19,Aussie Meats,Meat,Dandenong,193,12.0,2422.56,2,2,1,6,0.06
ORD0118,2025-09-13,VicGreens,Produce,Dandenong,181,3.5,659.76,2,2,1,6,0.06
ORD0119,2025-06-19,GrocerPlus,Snacks,Dandenong,290,2.1,599.95,6,5,1,2,0.02
ORD0120,2025-10-31,SeaFresh,Frozen,Tullamarine,355,6.5,2371.77,4,3,1,7,0.07
ORD0121,2025-10-30,DrinksCo,Beverages,Dandenong,252,1.9,476.47,4,4,1,2,0.02
ORD0122,2025-08-07,SnackHouse,Snacks,Dandenong,333,2.1,706.16,6,5,1,2,0.02
ORD0123,2025-08-09,FreshFarm Co,Produce,Dandenong,72,3.5,264.2,2,2,1,10,0.1
ORD0124,2025-10-29,Aussie Meats,Meat,Tullamarine,119,12.0,1498.12,2,2,1,9,0.09
ORD0125,2025-10-02,VicGreens,Produce,Dandenong,384,3.5,1349.84,1,2,1,5,0.05
ORD0126,2025-11-25,Pacific Produce,Produce,Dandenong,143,3.5,516.81,2,2,1,13,0.13
ORD0127,2025-11-14,Aussie Meats,Meat,Tullamarine,387,12.0,4578.49,1,2,1,5,0.05
ORD0128,2025-08-27,FreshFarm Co,Produce,Dandenong,150,3.5,524.2,1,2,1,8,0.08
ORD0129,2025-07-09,Aussie Meats,Meat,Tullamarine,189,12.0,2194.51,2,2,1,6,0.06
ORD0130,2025-09-18,Aussie Meats,Meat,Tullamarine,214,12.0,2452.02,2,2,1,7,0.07
ORD0131,2025-06-30,SeaFresh,Frozen,Tullamarine,463,6.5,3065.52,4,3,1,7,0.07
ORD0132,2025-08-16,BakeryDirect,Bakery,Dandenong,322,2.8,930.79,1,1,1,2,0.02
ORD0133,2025-11-07,BakeryDirect,Bakery,Tullamarine,264,2.8,766.22,1,1,1,1,0.01
ORD0134,2025-10-16,SeaFresh,Frozen,Tullamarine,227,6.5,1449.91,4,3,1,4,0.04
ORD0135,2025-09-01,FreshFarm Co,Produce,Dandenong,398,3.5,1331.11,2,2,1,7,0.07
ORD0136,2025-06-01,FreshFarm Co,Produce,Dandenong,295,3.5,1083.49,3,2,0,4,0.04
ORD0137,2025-06-21,SeaFresh,Frozen,Tullamarine,252,6.5,1576.75,5,3,0,6,0.06
ORD0138,2025-10-21,SnackHouse,Snacks,Tullamarine,264,2.1,530.21,5,5,1,2,0.02
ORD0139,2025-06-24,Aussie Meats,Meat,Tullamarine,221,12.0,2747.63,2,2,1,4,0.04
ORD0140,2025-09-13,DrinksCo,Beverages,Tullamarine,134,1.9,245.55,5,4,1,2,0.02
ORD0141,2025-07-17,VicGreens,Produce,Dandenong,441,3.5,1585.13,2,2,1,5,0.05
ORD0142,2025-09-29,Pacific Produce,Produce,Dandenong,248,3.5,837.7,2,2,0,9,0.09
ORD0143,2025-07-19,BakeryDirect,Bakery,Laverton,189,2.8,554.78,1,1,1,4,0.04
ORD0144,2025-09-26,FreshFarm Co,Produce,Tullamarine,115,3.5,383.32,2,2,1,8,0.08
ORD0145,2025-08-03,ColdChain Dairy,Dairy,Laverton,236,4.2,1016.93,1,1,1,0,0.0
ORD0146,2025-11-12,SeaFresh,Frozen,Laverton,338,6.5,2292.54,5,3,0,6,0.06
ORD0147,2025-06-15,Pacific Produce,Produce,Laverton,167,3.5,587.88,2,2,1,7,0.07
ORD0148,2025-08-29,VicGreens,Produce,Laverton,475,3.5,1631.07,1,2,1,4,0.04
ORD0149,2025-09-24,FreshFarm Co,Produce,Tullamarine,420,3.5,1427.29,1,2,1,9,0.09
ORD0150,2025-06-10,FreshFarm Co,Produce,Dandenong,296,3.5,1020.08,2,2,1,12,0.12
ORD0151,2025-10-12,FreshFarm Co,Produce,Dandenong,105,3.5,358.73,3,2,1,2,0.02
ORD0152,2025-06-13,Pacific Produce,Produce,Tullamarine,308,3.5,1036.69,2,2,0,13,0.13
ORD0153,2025-11-23,FreshFarm Co,Produce,Dandenong,265,3.5,963.61,1,2,1,9,0.09
ORD0154,2025-07-05,FreshFarm Co,Produce,Laverton,439,3.5,1503.91,3,2,1,9,0.09
ORD0155,2025-08-08,Pacific Produce,Produce,Dandenong,78,3.5,263.85,4,2,0,8,0.08
ORD0156,2025-09-12,VicGreens,Produce,Dandenong,331,3.5,1199.51,1,2,1,10,0.1
ORD0157,2025-10-07,VicGreens,Produce,Tullamarine,285,3.5,1037.93,3,2,1,9,0.09
ORD0158,2025-07-13,SnackHouse,Snacks,Dandenong,151,2.1,314.35,6,5,1,1,0.01
ORD0159,2025-06-18,BakeryDirect,Bakery,Dandenong,331,2.8,956.07,1,1,1,2,0.02
ORD0160,2025-11-30,BakeryDirect,Bakery,Tullamarine,162,2.8,440.29,1,1,1,2,0.02
ORD0161,2025-09-23,FreshFarm Co,Produce,Dandenong,363,3.5,1318.93,2,2,1,5,0.05
ORD0162,2025-07-04,FreshFarm Co,Produce,Dandenong,178,3.5,648.04,2,2,1,8,0.08
ORD0163,2025-11-12,VicGreens,Produce,Tullamarine,452,3.5,1509.55,1,2,1,6,0.06
ORD0164,2025-11-12,Pacific Produce,Produce,Tullamarine,335,3.5,1226.17,2,2,1,9,0.09
ORD0165,2025-08-21,Pacific Produce,Produce,Tullamarine,460,3.5,1641.84,2,2,1,7,0.07
ORD0166,2025-06-02,FreshFarm Co,Produce,Laverton,244,3.5,881.39,1,2,0,9,0.09
ORD0167,2025-07-21,BakeryDirect,Bakery,Dandenong,138,2.8,400.21,1,1,1,5,0.05
ORD0168,2025-10-09,SnackHouse,Snacks,Laverton,217,2.1,454.94,6,5,1,3,0.03
ORD0169,2025-06-07,DrinksCo,Beverages,Dandenong,421,1.9,830.42,5,4,0,1,0.01
ORD0170,2025-11-27,FreshFarm Co,Produce,Dandenong,278,3.5,967.99,1,2,1,5,0.05
ORD0171,2025-11-10,Aussie Meats,Meat,Tullamarine,360,12.0,4297.9,3,2,1,7,0.07
ORD0172,2025-06-27,FreshFarm Co,Produce,Tullamarine,130,3.5,446.88,2,2,1,7,0.07
ORD0173,2025-07-16,ColdChain Dairy,Dairy,Dandenong,472,4.2,1925.44,1,1,1,8,0.08
ORD0174,2025-10-14,FreshFarm Co,Produce,Tullamarine,314,3.5,1137.05,2,2,1,9,0.09
ORD0175,2025-11-09,FreshFarm Co,Produce,Tullamarine,86,3.5,308.22,1,2,1,8,0.08
ORD0176,2025-07-24,SeaFresh,Frozen,Laverton,419,6.5,2859.04,5,3,0,8,0.08
ORD0177,2025-08-17,ColdChain Dairy,Dairy,Tullamarine,360,4.2,1475.27,1,1,1,1,0.01
ORD0178,2025-06-21,ColdChain Dairy,Dairy,Dandenong,408,4.2,1686.96,1,1,1,5,0.05
ORD0179,2025-10-01,GrocerPlus,Snacks,Tullamarine,477,2.1,1026.99,7,5,0,4,0.04
ORD0180,2025-07-27,Pacific Produce,Produce,Dandenong,134,3.5,485.29,2,2,0,12,0.12
ORD0181,2025-10-07,ColdChain Dairy,Dairy,Tullamarine,163,4.2,676.81,1,1,1,2,0.02
ORD0182,2025-10-16,FreshFarm Co,Produce,Tullamarine,141,3.5,476.95,2,2,0,8,0.08
ORD0183,2025-11-19,Pacific Produce,Produce,Tullamarine,332,3.5,1128.64,2,2,1,9,0.09
ORD0184,2025-09-17,Pacific Produce,Produce,Laverton,60,3.5,216.5,3,2,1,8,0.08
ORD0185,2025-07-05,BakeryDirect,Bakery,Tullamarine,330,2.8,941.97,1,1,1,3,0.03
ORD0186,2025-09-30,FreshFarm Co,Produce,Dandenong,105,3.5,379.55,2,2,1,12,0.12
ORD0187,2025-08-31,SeaFresh,Frozen,Dandenong,341,6.5,2180.02,3,3,0,7,0.07
ORD0188,2025-09-01,VicGreens,Produce,Tullamarine,340,3.5,1248.16,1,2,1,6,0.06
ORD0189,2025-07-13,SnackHouse,Snacks,Dandenong,481,2.1,1003.85,7,5,0,2,0.02
ORD0190,2025-07-28,Aussie Meats,Meat,Laverton,73,12.0,884.4,2,2,1,6,0.06
ORD0191,2025-09-22,ColdChain Dairy,Dairy,Dandenong,363,4.2,1541.14,1,1,0,2,0.02
ORD0192,2025-11-18,BakeryDirect,Bakery,Tullamarine,402,2.8,1093.07,2,1,1,5,0.05
ORD0193,2025-08-21,BakeryDirect,Bakery,Laverton,72,2.8,205.15,1,1,0,5,0.05
ORD0194,2025-10-13,ColdChain Dairy,Dairy,Laverton,90,4.2,379.41,1,1,1,4,0.04
ORD0195,2025-06-30,Pacific Produce,Produce,Tullamarine,314,3.5,1123.97,2,2,1,12,0.12
ORD0196,2025-10-02,DrinksCo,Beverages,Dandenong,488,1.9,952.63,5,4,0,2,0.02
ORD0197,2025-11-30,SeaFresh,Frozen,Tullamarine,399,6.5,2486.19,4,3,1,6,0.06
ORD0198,2025-09-05,BakeryDirect,Bakery,Tullamarine,222,2.8,632.22,1,1,1,3,0.03
ORD0199,2025-08-02,BakeryDirect,Bakery,Tullamarine,245,2.8,658.17,1,1,1,2,0.02
ORD0200,2025-06-04,FreshFarm Co,Produce,Dandenong,173,3.5,596.14,1,2,1,9,0.09
ORD0201,2025-08-19,BakeryDirect,Bakery,Laverton,425,2.8,1159.83,1,1,0,6,0.06
ORD0202,2025-10-06,SnackHouse,Snacks,Laverton,218,2.1,466.63,7,5,0,5,0.05
ORD0203,2025-07-02,VicGreens,Produce,Dandenong,198,3.5,714.76,1,2,1,6,0.06
ORD0204,2025-07-14,Pacific Produce,Produce,Tullamarine,152,3.5,549.33,3,2,0,9,0.09
ORD0205,2025-08-22,FreshFarm Co,Produce,Dandenong,259,3.5,916.12,2,2,1,10,0.1
ORD0206,2025-08-14,DrinksCo,Beverages,Laverton,411,1.9,774.83,7,4,0,4,0.04
ORD0207,2025-06-19,Aussie Meats,Meat,Dandenong,147,12.0,1761.86,2,2,1,7,0.07
ORD0208,2025-10-09,Aussie Meats,Meat,Tullamarine,111,12.0,1288.05,2,2,1,7,0.07
ORD0209,2025-08-05,SeaFresh,Frozen,Tullamarine,163,6.5,1054.45,2,3,0,5,0.05
ORD0210,2025-07-27,FreshFarm Co,Produce,Laverton,226,3.5,778.23,2,2,1,9,0.09
ORD0211,2025-08-15,Aussie Meats,Meat,Tullamarine,316,12.0,3801.31,2,2,1,11,0.11
ORD0212,2025-06-20,DrinksCo,Beverages,Dandenong,365,1.9,720.15,5,4,1,2,0.02
ORD0213,2025-07-31,Pacific Produce,Produce,Dandenong,68,3.5,249.55,2,2,1,7,0.07
ORD0214,2025-10-31,Pacific Produce,Produce,Tullamarine,98,3.5,359.96,2,2,1,15,0.15
ORD0215,2025-10-15,Pacific Produce,Produce,Laverton,235,3.5,782.39,3,2,1,13,0.13
ORD0216,2025-11-25,Pacific Produce,Produce,Dandenong,324,3.5,1173.97,3,2,1,5,0.05
ORD0217,2025-08-14,GrocerPlus,Snacks,Tullamarine,79,2.1,164.2,6,5,1,2,0.02
ORD0218,2025-07-03,VicGreens,Produce,Dandenong,114,3.5,413.67,2,2,0,4,0.04
ORD0219,2025-06-01,ColdChain Dairy,Dairy,Dandenong,227,4.2,917.94,2,1,1,2,0.02
ORD0220,2025-09-26,Aussie Meats,Meat,Dandenong,400,12.0,4856.7,3,2,1,3,0.03
ORD0221,2025-06-11,ColdChain Dairy,Dairy,Laverton,362,4.2,1571.74,1,1,0,6,0.06
ORD0222,2025-09-17,FreshFarm Co,Produce,Laverton,186,3.5,636.44,2,2,1,6,0.06
ORD0223,2025-08-04,VicGreens,Produce,Tullamarine,114,3.5,382.63,1,2,1,11,0.11
ORD0224,2025-08-02,ColdChain Dairy,Dairy,Laverton,323,4.2,1340.66,1,1,1,4,0.04
ORD0225,2025-06-11,VicGreens,Produce,Dandenong,437,3.5,1526.86,3,2,0,3,0.03
ORD0226,2025-08-16,VicGreens,Produce,Dandenong,195,3.5,676.81,3,2,1,6,0.06
ORD0227,2025-08-30,Aussie Meats,Meat,Tullamarine,478,12.0,5607.34,1,2,1,4,0.04
ORD0228,2025-06-14,SnackHouse,Snacks,Tullamarine,345,2.1,754.22,5,5,1,2,0.02
ORD0229,2025-06-11,FreshFarm Co,Produce,Tullamarine,157,3.5,538.78,1,2,1,9,0.09
ORD0230,2025-08-04,FreshFarm Co,Produce,Dandenong,437,3.5,1453.18,2,2,1,3,0.03
ORD0231,2025-10-14,FreshFarm Co,Produce,Tullamarine,484,3.5,1730.03,1,2,1,6,0.06
ORD0232,2025-11-01,SeaFresh,Frozen,Tullamarine,82,6.5,549.73,4,3,1,6,0.06
ORD0233,2025-08-06,Aussie Meats,Meat,Tullamarine,162,12.0,1958.4,1,2,0,9,0.09
ORD0234,2025-07-29,VicGreens,Produce,Tullamarine,134,3.5,446.23,2,2,1,8,0.08
ORD0235,2025-06-26,FreshFarm Co,Produce,Tullamarine,445,3.5,1564.4,1,2,0,9,0.09
ORD0236,2025-09-24,DrinksCo,Beverages,Dandenong,316,1.9,625.98,5,4,1,3,0.03
ORD0237,2025-07-04,DrinksCo,Beverages,Tullamarine,62,1.9,119.8,4,4,1,2,0.02
ORD0238,2025-06-18,FreshFarm Co,Produce,Laverton,383,3.5,1329.86,2,2,1,8,0.08
ORD0239,2025-11-01,BakeryDirect,Bakery,Dandenong,464,2.8,1243.67,1,1,1,0,0.0
ORD0240,2025-07-28,VicGreens,Produce,Tullamarine,97,3.5,327.25,1,2,1,4,0.04
ORD0241,2025-07-24,VicGreens,Produce,Dandenong,313,3.5,1138.44,1,2,1,9,0.09
ORD0242,2025-10-31,Pacific Produce,Produce,Laverton,422,3.5,1455.72,3,2,1,16,0.16
ORD0243,2025-11-15,VicGreens,Produce,Tullamarine,441,3.5,1576.34,1,2,1,10,0.1
ORD0244,2025-10-17,SnackHouse,Snacks,Dandenong,452,2.1,964.69,7,5,0,2,0.02
ORD0245,2025-08-16,Pacific Produce,Produce,Dandenong,402,3.5,1371.71,2,2,1,11,0.11
ORD0246,2025-08-01,FreshFarm Co,Produce,Dandenong,287,3.5,1021.48,2,2,1,8,0.08
ORD0247,2025-07-17,BakeryDirect,Bakery,Laverton,336,2.8,969.53,1,1,1,3,0.03
ORD0248,2025-09-07,VicGreens,Produce,Tullamarine,360,3.5,1240.74,2,2,1,7,0.07
ORD0249,2025-06-21,Pacific Produce,Produce,Laverton,322,3.5,1097.16,3,2,1,10,0.1
ORD0250,2025-07-09,VicGreens,Produce,Tullamarine,287,3.5,1006.24,1,2,1,10,0.1
ORD0251,2025-07-14,Aussie Meats,Meat,Tullamarine,182,12.0,2278.62,1,2,1,9,0.09
ORD0252,2025-06-13,DrinksCo,Beverages,Tullamarine,460,1.9,900.29,5,4,1,1,0.01
ORD0253,2025-08-04,FreshFarm Co,Produce,Dandenong,367,3.5,1255.67,2,2,1,9,0.09
ORD0254,2025-09-15,ColdChain Dairy,Dairy,Dandenong,229,4.2,918.78,1,1,1,4,0.04
ORD0255,2025-09-25,Pacific Produce,Produce,Tullamarine,264,3.5,884.36,2,2,1,12,0.12
