year,month,quarter,state,brand,body_type,fuel_type,sale_price
2024,7,3,QLD,Toyota,Ute,Petrol,49800.0
2023,11,4,VIC,Toyota,Ute,Petrol,50200.0
2023,4,2,QLD,Mazda,SUV,Electric,63000.0
2023,8,3,WA,Mazda,SUV,Hybrid,51800.0
2021,5,2,NSW,Ford,SUV,Petrol,53800.0
2021,10,4,VIC,Nissan,SUV,Hybrid,48300.0
2024,9,3,SA,Nissan,Ute,Petrol,36500.0
2024,12,4,QLD,Ford,Ute,Hybrid,66300.0
2024,12,4,VIC,Ford,Hatchback,Electric,71600.0
2024,10,4,VIC,Kia,SUV,Petrol,41000.0
2022,5,2,VIC,Mazda,SUV,Hybrid,49400.0
2022,1,1,VIC,Toyota,Ute,Petrol,46100.0
2024,12,4,QLD,Nissan,SUV,Petrol,40400.0
2023,9,3,VIC,Mazda,SUV,Diesel,45800.0
2023,12,4,QLD,Mazda,Sedan,Electric,54100.0
2024,5,2,WA,Ford,SUV,Diesel,63700.0
2024,6,2,NSW,Ford,Ute,Electric,91900.0
2021,4,2,VIC,Toyota,SUV,Hybrid,62300.0
2021,6,2,VIC,Toyota,Ute,Petrol,45700.0
2019,12,4,QLD,Hyundai,Hatchback,Petrol,26800.0
2023,8,3,NSW,Tesla,SUV,Electric,156600.0
2019,3,1,QLD,Mazda,Van,Diesel,40500.0
2022,5,2,WA,Ford,Sedan,Diesel,50500.0
2022,2,1,VIC,Kia,Hatchback,Petrol,27000.0
2021,2,1,SA,Nissan,SUV,Electric,55700.0
2023,7,3,TAS,Hyundai,Sedan,Hybrid,36400.0
2019,10,4,NSW,Toyota,SUV,Petrol,47400.0
2019,10,4,NSW,Ford,Ute,Diesel,60800.0
2024,11,4,SA,BYD,Sedan,Electric,90600.0
2021,10,4,SA,Toyota,Sedan,Petrol,37700.0
2020,6,2,NSW,Ford,Hatchback,Petrol,42100.0
2022,4,2,NSW,Toyota,SUV,Electric,79800.0
2023,5,2,NSW,Toyota,SUV,Electric,83900.0
2020,1,1,TAS,Ford,Sedan,Petrol,43300.0
2023,7,3,NSW,Mazda,Sedan,Diesel,42300.0
2019,8,3,VIC,Isuzu,Sedan,Diesel,67300.0
2019,9,3,WA,Mitsubishi,Sedan,Petrol,38000.0
2022,8,3,NSW,Ford,Van,Petrol,50900.0
2022,5,2,QLD,Ford,Ute,Diesel,54700.0
2023,3,1,NSW,Kia,SUV,Diesel,44600.0
2023,10,4,WA,Toyota,SUV,Petrol,52800.0
2024,11,4,NSW,Nissan,Wagon,Petrol,39200.0
2022,9,3,QLD,Nissan,Ute,Petrol,40300.0
2021,6,2,QLD,Toyota,Hatchback,Petrol,33000.0
2024,5,2,NSW,Toyota,SUV,Diesel,57600.0
2021,3,1,NSW,Toyota,Ute,Petrol,46100.0
2022,6,2,VIC,Mitsubishi,Ute,Petrol,47300.0
2019,3,1,NSW,Mitsubishi,SUV,Hybrid,52800.0
2019,10,4,WA,Isuzu,Sedan,Petrol,58900.0
2024,12,4,WA,BYD,Sedan,Electric,88400.0
2024,6,2,VIC,Ford,Sedan,Diesel,56300.0
2023,4,2,QLD,Mitsubishi,Hatchback,Electric,55600.0
2022,2,1,QLD,Tesla,Hatchback,Electric,109000.0
2020,8,3,WA,Kia,Hatchback,Diesel,30600.0
2020,4,2,VIC,Ford,Ute,Diesel,60500.0
2021,9,3,NSW,Mitsubishi,Sedan,Petrol,37300.0
2022,7,3,NSW,Kia,SUV,Petrol,40000.0
2023,12,4,VIC,Mitsubishi,Hatchback,Diesel,38100.0
2023,2,1,VIC,Mitsubishi,Sedan,Diesel,42800.0
2021,4,2,VIC,Tesla,SUV,Electric,156500.0
2024,5,2,NSW,Mitsubishi,Sedan,Petrol,43700.0
2023,3,1,QLD,Kia,SUV,Diesel,40000.0
2022,9,3,NSW,Tesla,Ute,Electric,143000.0
2023,5,2,NSW,Ford,SUV,Electric,98300.0
2022,2,1,VIC,Mazda,SUV,Petrol,44500.0
2020,11,4,NSW,Toyota,Van,Petrol,42800.0
2021,3,1,VIC,Kia,Ute,Petrol,35100.0
2023,9,3,VIC,Mitsubishi,Ute,Hybrid,52000.0
2019,7,3,VIC,Nissan,Sedan,Diesel,35400.0
2019,2,1,VIC,Hyundai,Hatchback,Diesel,30000.0
2019,9,3,NSW,Hyundai,Ute,Petrol,35400.0
2019,4,2,NSW,Mazda,Sedan,Petrol,33200.0
2024,9,3,WA,Toyota,Van,Petrol,48900.0
2023,2,1,VIC,BYD,SUV,Electric,104700.0
2022,12,4,VIC,Mazda,Van,Hybrid,48700.0
2019,10,4,NSW,Mitsubishi,SUV,Diesel,47500.0
2022,12,4,VIC,Tesla,Sedan,Electric,132500.0
2022,4,2,VIC,Ford,SUV,Electric,85500.0
2020,5,2,VIC,Nissan,Sedan,Petrol,34400.0
2022,2,1,QLD,Ford,Sedan,Diesel,50500.0
2022,10,4,NSW,Mazda,Wagon,Diesel,40100.0
2023,1,1,NSW,Nissan,Wagon,Petrol,36200.0
2023,7,3,WA,Nissan,Van,Diesel,42500.0
2019,10,4,SA,Toyota,SUV,Petrol,41100.0
2021,1,1,NSW,Toyota,Wagon,Hybrid,54300.0
2023,11,4,VIC,Toyota,Sedan,Petrol,42500.0
2022,11,4,NSW,Mazda,Hatchback,Electric,51900.0
2024,8,3,NSW,Nissan,SUV,Diesel,52200.0
2023,3,1,VIC,Kia,Sedan,Petrol,33000.0
2020,10,4,NSW,Hyundai,Van,Petrol,36300.0
2019,6,2,QLD,Nissan,Van,Petrol,35100.0
2023,7,3,VIC,Ford,Ute,Diesel,65000.0
2019,10,4,NSW,Hyundai,Ute,Petrol,33900.0
2023,1,1,NSW,Nissan,SUV,Diesel,50200.0
2024,6,2,WA,Isuzu,Ute,Electric,122100.0
2023,7,3,NSW,Isuzu,Sedan,Hybrid,80500.0
2021,6,2,QLD,Kia,SUV,Diesel,37700.0
2023,4,2,VIC,BYD,SUV,Electric,114600.0
2022,1,1,VIC,Toyota,SUV,Petrol,50500.0
2022,11,4,NSW,Kia,Ute,Diesel,39700.0
2024,9,3,NSW,Nissan,SUV,Petrol,46400.0
2021,4,2,NSW,Mazda,Sedan,Hybrid,43200.0
2024,7,3,NSW,BYD,SUV,Electric,107300.0
2024,7,3,VIC,Ford,Sedan,Petrol,51300.0
2020,2,1,QLD,Toyota,Ute,Petrol,43100.0
2019,1,1,NSW,BYD,Ute,Electric,99100.0
2019,8,3,NSW,Toyota,Sedan,Diesel,43600.0
2019,8,3,VIC,Mitsubishi,Sedan,Petrol,38700.0
2019,7,3,QLD,Toyota,SUV,Diesel,47100.0
2023,8,3,ACT,Nissan,Hatchback,Petrol,33800.0
2019,3,1,VIC,Mazda,SUV,Petrol,38500.0
2021,11,4,VIC,Mazda,SUV,Diesel,45600.0
2024,2,1,VIC,Toyota,Ute,Diesel,57000.0
2019,7,3,SA,Nissan,SUV,Petrol,34800.0
2024,8,3,WA,Tesla,Hatchback,Electric,127400.0
2021,1,1,VIC,BYD,SUV,Electric,99700.0
2019,12,4,NSW,Kia,Ute,Petrol,31900.0
2023,10,4,NSW,Ford,SUV,Hybrid,69200.0
2023,9,3,VIC,Toyota,SUV,Electric,81500.0
2024,11,4,QLD,Kia,SUV,Diesel,40100.0
2023,4,2,VIC,Mazda,Hatchback,Hybrid,41000.0
2024,12,4,NSW,Nissan,Van,Diesel,46200.0
2021,4,2,QLD,BYD,Sedan,Electric,81100.0
2020,3,1,WA,Ford,Hatchback,Petrol,40300.0
2023,6,2,NSW,Toyota,Ute,Petrol,48500.0
2024,1,1,QLD,BYD,Van,Electric,102000.0
2024,6,2,VIC,Toyota,Hatchback,Diesel,41500.0
2022,2,1,WA,Mazda,SUV,Diesel,44900.0
2021,9,3,WA,Mazda,Ute,Diesel,42700.0
2023,2,1,VIC,Kia,Sedan,Hybrid,41000.0
2021,7,3,QLD,BYD,SUV,Electric,100600.0
2024,12,4,WA,Hyundai,SUV,Electric,66700.0
2024,1,1,VIC,Toyota,Hatchback,Diesel,44900.0
2022,12,4,NSW,Ford,Hatchback,Petrol,42400.0
2023,7,3,QLD,BYD,Ute,Electric,96700.0
2023,5,2,NSW,Mazda,Wagon,Petrol,41400.0
2019,8,3,VIC,Mazda,Ute,Petrol,40300.0
2024,4,2,WA,Nissan,SUV,Hybrid,51700.0
2022,12,4,QLD,Nissan,SUV,Petrol,39500.0
2024,10,4,VIC,Nissan,SUV,Electric,71600.0
2021,7,3,NSW,Isuzu,SUV,Electric,114600.0
2024,6,2,VIC,Mazda,SUV,Diesel,49500.0
2021,5,2,NSW,Mazda,Sedan,Petrol,38400.0
2019,4,2,NSW,Hyundai,Hatchback,Petrol,28900.0
2024,7,3,QLD,Hyundai,Hatchback,Petrol,28100.0
2019,12,4,NSW,Nissan,Sedan,Petrol,32800.0
2021,5,2,VIC,BYD,Hatchback,Electric,75100.0
2024,5,2,VIC,Tesla,Sedan,Electric,148200.0
2024,1,1,TAS,Mazda,Hatchback,Diesel,35800.0
2023,2,1,VIC,Nissan,Sedan,Petrol,37600.0
2023,5,2,NSW,Isuzu,SUV,Hybrid,96200.0
2022,3,1,NSW,Toyota,Hatchback,Petrol,35200.0
2021,2,1,VIC,Nissan,SUV,Petrol,42000.0
2021,4,2,VIC,Mazda,Sedan,Petrol,35100.0
2023,4,2,VIC,Toyota,SUV,Electric,80200.0
2023,4,2,VIC,Mitsubishi,Ute,Hybrid,56600.0
2024,4,2,NSW,Mitsubishi,Wagon,Diesel,49000.0
2024,3,1,VIC,Toyota,SUV,Hybrid,67300.0
2019,12,4,VIC,Hyundai,Hatchback,Diesel,27900.0
2022,7,3,NSW,Nissan,SUV,Electric,68000.0
2019,9,3,NSW,Tesla,SUV,Electric,147900.0
2022,12,4,NSW,Tesla,SUV,Electric,165800.0
2022,5,2,NSW,Mazda,Ute,Petrol,42700.0
2024,4,2,QLD,Toyota,SUV,Hybrid,56200.0
2021,11,4,NSW,Mazda,Sedan,Petrol,35300.0
2019,2,1,NSW,Mazda,SUV,Hybrid,47700.0
2020,2,1,NSW,Mazda,SUV,Petrol,40000.0
2023,5,2,SA,Mazda,Ute,Electric,62400.0
2023,7,3,WA,Kia,SUV,Electric,57300.0
2019,10,4,NSW,Hyundai,SUV,Petrol,37000.0
2019,10,4,VIC,Isuzu,SUV,Hybrid,83000.0
2023,9,3,NSW,Toyota,Sedan,Petrol,44400.0
2019,7,3,VIC,Ford,Ute,Petrol,52300.0
2024,5,2,NSW,Toyota,SUV,Diesel,56900.0
2023,10,4,QLD,Ford,SUV,Electric,88000.0
2019,10,4,VIC,Toyota,Sedan,Petrol,40900.0
2019,10,4,WA,Nissan,SUV,Petrol,36300.0
2024,6,2,NSW,BYD,Hatchback,Electric,86300.0
2021,11,4,WA,Ford,Ute,Diesel,56600.0
2021,12,4,QLD,Toyota,Sedan,Hybrid,45200.0
2024,3,1,NSW,Mitsubishi,SUV,Hybrid,61600.0
2024,5,2,VIC,BYD,Ute,Electric,100600.0
2024,8,3,NSW,Mazda,Hatchback,Petrol,35800.0
2023,1,1,NSW,Kia,Sedan,Petrol,31400.0
2021,12,4,NSW,Isuzu,Ute,Petrol,67600.0
2019,1,1,VIC,BYD,Ute,Electric,93300.0
2023,7,3,VIC,Isuzu,Sedan,Diesel,73200.0
2022,5,2,SA,Nissan,SUV,Petrol,40200.0
2022,5,2,NSW,Nissan,Ute,Petrol,39100.0
2024,1,1,ACT,Ford,SUV,Electric,102500.0
2019,9,3,NSW,Kia,Ute,Petrol,36300.0
2022,1,1,QLD,BYD,Ute,Electric,95100.0
2019,5,2,VIC,Tesla,Hatchback,Electric,113600.0
2022,10,4,NSW,Nissan,Sedan,Diesel,39900.0
2019,9,3,WA,Toyota,SUV,Petrol,43000.0
2019,4,2,NSW,Hyundai,SUV,Petrol,36300.0
