date,city,month,day_of_year,temp_max,temp_min,temp_range,rainfall_mm,uv_index
2023-03-04,Melbourne,3,63,21.6,14.3,7.3,0.8,5.9
2023-03-05,Melbourne,3,64,25.2,14.0,11.2,0.2,6.1
2023-03-06,Melbourne,3,65,21.0,14.4,6.6,1.9,5.4
2023-03-07,Melbourne,3,66,23.9,16.5,7.4,0.0,5.0
2023-03-08,Melbourne,3,67,20.8,14.4,6.4,0.0,6.4
2023-03-09,Melbourne,3,68,23.2,14.4,8.8,0.0,6.2
2023-03-10,Melbourne,3,69,22.5,11.1,11.4,0.0,4.9
2023-03-11,Melbourne,3,70,22.1,16.1,6.0,0.0,5.7
2023-03-12,Melbourne,3,71,24.7,16.0,8.7,0.0,6.0
2023-03-13,Melbourne,3,72,26.1,20.0,6.1,0.0,6.6
2023-03-14,Melbourne,3,73,24.6,14.9,9.7,0.0,5.4
2023-03-15,Melbourne,3,74,25.9,17.5,8.4,0.0,6.4
2023-03-16,Melbourne,3,75,20.7,13.1,7.6,0.0,5.0
2023-03-17,Melbourne,3,76,21.7,11.9,9.8,0.0,5.5
2023-03-18,Melbourne,3,77,22.8,13.6,9.2,0.0,6.2
2023-03-19,Melbourne,3,78,24.4,15.4,9.0,0.0,5.7
2023-03-20,Melbourne,3,79,20.7,14.2,6.5,0.0,5.8
2023-03-21,Melbourne,3,80,24.8,16.0,8.8,4.9,5.0
2023-03-22,Melbourne,3,81,23.6,11.8,11.8,0.0,6.7
2023-03-23,Melbourne,3,82,22.7,15.7,7.0,0.0,6.0
2023-03-24,Melbourne,3,83,24.9,18.2,6.7,0.0,6.1
2023-03-25,Melbourne,3,84,19.0,12.4,6.6,0.6,5.7
2023-03-26,Melbourne,3,85,21.1,11.8,9.3,2.5,5.7
2023-03-27,Melbourne,3,86,20.5,12.1,8.4,0.0,5.1
2023-03-28,Melbourne,3,87,24.3,17.5,6.8,0.0,6.8
2023-03-29,Melbourne,3,88,23.1,11.1,12.0,1.8,6.7
2023-03-30,Melbourne,3,89,25.3,15.1,10.2,0.8,6.6
2023-03-31,Melbourne,3,90,23.8,15.0,8.8,0.0,5.4
2023-04-01,Melbourne,4,91,21.2,12.8,8.4,0.0,4.9
2023-04-02,Melbourne,4,92,17.7,6.5,11.2,3.1,5.7
2023-04-03,Melbourne,4,93,19.2,12.2,7.0,0.0,6.1
2023-04-04,Melbourne,4,94,24.1,16.8,7.3,0.0,5.2
2023-04-05,Melbourne,4,95,24.0,14.3,9.7,0.4,5.7
2023-04-06,Melbourne,4,96,15.9,6.8,9.1,0.0,6.0
2023-04-07,Melbourne,4,97,18.8,11.7,7.1,0.0,5.5
2023-04-08,Melbourne,4,98,22.9,13.1,9.8,0.0,5.3
2023-04-09,Melbourne,4,99,22.5,12.4,10.1,0.0,6.0
2023-04-10,Melbourne,4,100,22.1,13.4,8.7,0.0,4.8
2023-04-11,Melbourne,4,101,20.0,11.7,8.3,0.8,6.1
2023-04-12,Melbourne,4,102,19.4,10.3,9.1,0.0,6.3
2023-04-13,Melbourne,4,103,18.0,7.8,10.2,0.0,6.1
2023-04-14,Melbourne,4,104,24.4,14.4,10.0,0.0,6.6
2023-04-15,Melbourne,4,105,19.2,13.1,6.1,0.8,5.3
2023-04-16,Melbourne,4,106,21.4,12.7,8.7,0.0,5.2
2023-04-17,Melbourne,4,107,22.8,16.0,6.8,0.0,5.9
2023-04-18,Melbourne,4,108,19.0,8.4,10.6,0.0,5.3
2023-04-19,Melbourne,4,109,19.8,13.0,6.8,1.0,6.4
2023-04-20,Melbourne,4,110,21.5,15.1,6.4,2.9,6.4
2023-04-21,Melbourne,4,111,22.8,16.5,6.3,0.0,5.1
2023-04-22,Melbourne,4,112,21.5,11.9,9.6,0.3,5.9
2023-04-23,Melbourne,4,113,19.9,9.0,10.9,0.6,5.7
2023-04-24,Melbourne,4,114,19.9,8.8,11.1,1.1,5.7
2023-04-25,Melbourne,4,115,12.5,1.7,10.8,1.3,5.1
2023-04-26,Melbourne,4,116,19.9,8.7,11.2,0.0,6.8
2023-04-27,Melbourne,4,117,17.3,5.8,11.5,1.8,6.3
2023-04-28,Melbourne,4,118,21.5,14.9,6.6,1.0,5.5
2023-04-29,Melbourne,4,119,17.2,9.0,8.2,0.0,5.7
2023-04-30,Melbourne,4,120,17.7,9.0,8.7,0.4,5.3
2023-05-01,Melbourne,5,121,16.1,6.6,9.5,0.0,5.2
2023-05-02,Melbourne,5,122,14.1,7.7,6.4,0.0,5.1
2023-05-03,Melbourne,5,123,20.5,10.4,10.1,0.0,6.4
2023-05-04,Melbourne,5,124,15.6,3.6,12.0,0.0,6.6
2023-05-05,Melbourne,5,125,11.0,-0.9,11.9,0.0,5.1
2023-05-06,Melbourne,5,126,18.1,8.9,9.2,0.0,5.8
2023-05-07,Melbourne,5,127,15.1,5.5,9.6,1.0,6.6
2023-05-08,Melbourne,5,128,20.0,9.6,10.4,0.0,5.4
2023-05-09,Melbourne,5,129,15.5,3.6,11.9,4.5,5.3
2023-05-10,Melbourne,5,130,23.1,12.3,10.8,0.0,5.2
2023-05-11,Melbourne,5,131,21.4,12.9,8.5,2.6,5.8
2023-05-12,Melbourne,5,132,15.8,8.7,7.1,1.3,5.4
2023-05-13,Melbourne,5,133,16.0,9.9,6.1,0.0,5.6
2023-05-14,Melbourne,5,134,17.9,6.8,11.1,0.0,6.6
2023-05-15,Melbourne,5,135,14.9,3.2,11.7,0.0,6.7
2023-05-16,Melbourne,5,136,15.5,3.6,11.9,0.0,6.5
2023-05-17,Melbourne,5,137,17.4,6.5,10.9,0.0,5.7
2023-05-18,Melbourne,5,138,18.5,11.2,7.3,0.0,4.9
2023-05-19,Melbourne,5,139,14.6,3.8,10.8,0.7,5.4
2023-05-20,Melbourne,5,140,13.3,3.3,10.0,0.0,5.8
2023-05-21,Melbourne,5,141,16.3,7.3,9.0,0.4,6.6
2023-05-22,Melbourne,5,142,19.9,10.3,9.6,1.4,5.6
2023-05-23,Melbourne,5,143,17.7,10.8,6.9,0.0,5.2
2023-05-24,Melbourne,5,144,19.5,12.5,7.0,4.0,6.5
2023-05-25,Melbourne,5,145,16.4,10.1,6.3,1.8,5.6
2023-05-26,Melbourne,5,146,16.2,6.8,9.4,0.0,5.4
2023-05-27,Melbourne,5,147,18.7,12.6,6.1,0.0,5.5
2023-05-28,Melbourne,5,148,15.6,9.4,6.2,0.2,6.5
2023-05-29,Melbourne,5,149,13.8,5.8,8.0,0.0,5.7
2023-05-30,Melbourne,5,150,18.3,7.9,10.4,0.3,4.9
2023-05-31,Melbourne,5,151,21.9,12.9,9.0,0.0,5.8
2023-06-01,Melbourne,6,152,15.4,4.9,10.5,0.0,5.2
2023-06-02,Melbourne,6,153,19.6,12.6,7.0,0.0,6.2
2023-06-03,Melbourne,6,154,13.4,6.4,7.0,0.0,5.6
2023-06-04,Melbourne,6,155,18.1,6.6,11.5,0.0,5.9
2023-06-05,Melbourne,6,156,12.0,5.7,6.3,0.0,6.0
2023-06-06,Melbourne,6,157,13.7,4.9,8.8,0.0,6.2
2023-06-07,Melbourne,6,158,16.0,9.7,6.3,0.0,5.0
2023-06-08,Melbourne,6,159,16.9,8.8,8.1,0.0,6.6
2023-06-09,Melbourne,6,160,20.4,10.5,9.9,0.0,5.5
2023-06-10,Melbourne,6,161,17.4,7.3,10.1,0.0,6.3
2023-06-11,Melbourne,6,162,13.7,2.7,11.0,0.0,6.0
2023-06-12,Melbourne,6,163,13.6,5.3,8.3,0.0,5.0
2023-06-13,Melbourne,6,164,15.3,7.3,8.0,0.0,5.7
2023-06-14,Melbourne,6,165,16.2,6.7,9.5,0.0,6.7
2023-06-15,Melbourne,6,166,19.8,12.0,7.8,0.0,5.8
2023-06-16,Melbourne,6,167,12.9,4.5,8.4,0.0,6.7
2023-06-17,Melbourne,6,168,15.5,7.0,8.5,5.7,5.8
2023-06-18,Melbourne,6,169,10.8,4.8,6.0,0.0,6.7
2023-06-19,Melbourne,6,170,16.5,7.7,8.8,2.1,6.6
2023-06-20,Melbourne,6,171,12.8,2.1,10.7,0.0,5.7
2023-06-21,Melbourne,6,172,16.9,6.4,10.5,0.4,5.6
2023-06-22,Melbourne,6,173,15.3,5.3,10.0,0.0,6.2
2023-06-23,Melbourne,6,174,15.9,9.5,6.4,0.0,6.3
2023-06-24,Melbourne,6,175,15.9,7.2,8.7,2.9,5.5
2023-06-25,Melbourne,6,176,11.4,1.6,9.8,0.0,6.7
2023-06-26,Melbourne,6,177,8.3,2.2,6.1,2.3,5.2
2023-06-27,Melbourne,6,178,18.2,9.0,9.2,2.8,5.2
2023-06-28,Melbourne,6,179,14.0,3.5,10.5,0.0,6.7
2023-06-29,Melbourne,6,180,18.6,9.6,9.0,0.0,5.6
2023-06-30,Melbourne,6,181,17.5,10.5,7.0,5.9,5.2
2023-07-01,Melbourne,7,182,11.0,0.1,10.9,1.6,5.0
2023-07-02,Melbourne,7,183,10.5,0.8,9.7,0.6,6.3
2023-07-03,Melbourne,7,184,11.1,0.5,10.6,0.0,6.0
2023-07-04,Melbourne,7,185,13.0,5.1,7.9,0.0,5.6
2023-07-05,Melbourne,7,186,17.9,11.1,6.8,0.0,5.1
2023-07-06,Melbourne,7,187,12.2,1.0,11.2,0.0,6.7
2023-07-07,Melbourne,7,188,15.6,6.0,9.6,0.0,5.8
2023-07-08,Melbourne,7,189,13.5,1.9,11.6,0.0,6.6
2023-07-09,Melbourne,7,190,16.3,10.0,6.3,0.0,6.6
2023-07-10,Melbourne,7,191,14.8,6.3,8.5,0.1,5.8
2023-07-11,Melbourne,7,192,9.7,1.4,8.3,0.0,5.5
2023-07-12,Melbourne,7,193,14.6,3.2,11.4,0.0,5.8
2023-07-13,Melbourne,7,194,13.9,4.2,9.7,0.0,4.9
2023-07-14,Melbourne,7,195,8.9,-0.3,9.2,0.0,5.4
2023-07-15,Melbourne,7,196,13.0,6.3,6.7,0.0,6.6
2023-07-16,Melbourne,7,197,10.7,2.1,8.6,4.9,5.3
2023-07-17,Melbourne,7,198,16.4,8.3,8.1,0.0,6.3
2023-07-18,Melbourne,7,199,11.2,2.7,8.5,0.0,5.4
2023-07-19,Melbourne,7,200,13.6,5.1,8.5,0.8,5.5
2023-07-20,Melbourne,7,201,17.2,6.3,10.9,0.5,5.5
2023-07-21,Melbourne,7,202,13.8,3.7,10.1,0.0,6.3
2023-07-22,Melbourne,7,203,12.3,0.4,11.9,0.0,6.3
2023-07-23,Melbourne,7,204,12.3,5.1,7.2,0.0,5.4
2023-07-24,Melbourne,7,205,6.9,-4.3,11.2,0.0,6.3
2023-07-25,Melbourne,7,206,12.1,4.2,7.9,0.0,6.5
2023-07-26,Melbourne,7,207,12.9,1.0,11.9,0.0,6.6
2023-07-27,Melbourne,7,208,10.4,0.8,9.6,0.0,5.1
2023-07-28,Melbourne,7,209,11.3,0.3,11.0,0.0,5.8
2023-07-29,Melbourne,7,210,18.0,11.2,6.8,2.0,5.1
2023-07-30,Melbourne,7,211,12.6,5.8,6.8,0.0,6.4
2023-07-31,Melbourne,7,212,18.4,6.5,11.9,0.9,5.8
2023-08-01,Melbourne,8,213,10.8,2.8,8.0,1.5,6.8
2023-08-02,Melbourne,8,214,14.6,7.9,6.7,0.0,5.9
2023-08-03,Melbourne,8,215,11.8,-0.1,11.9,1.6,5.9
2023-08-04,Melbourne,8,216,11.7,0.0,11.7,0.1,6.6
2023-08-05,Melbourne,8,217,12.6,5.9,6.7,0.5,6.2
2023-08-06,Melbourne,8,218,10.5,3.7,6.8,0.9,5.6
2023-08-07,Melbourne,8,219,15.9,5.7,10.2,0.0,6.1
2023-08-08,Melbourne,8,220,16.2,5.2,11.0,0.0,6.6
2023-08-09,Melbourne,8,221,16.6,5.1,11.5,0.0,5.5
2023-08-10,Melbourne,8,222,17.0,8.0,9.0,1.0,6.1
2023-08-11,Melbourne,8,223,15.8,7.8,8.0,0.8,6.0
2023-08-12,Melbourne,8,224,11.3,2.5,8.8,0.0,6.4
2023-08-13,Melbourne,8,225,17.5,10.8,6.7,0.8,5.0
2023-08-14,Melbourne,8,226,19.3,9.4,9.9,0.0,6.3
2023-08-15,Melbourne,8,227,17.9,7.6,10.3,0.0,6.0
2023-08-16,Melbourne,8,228,14.3,7.2,7.1,4.5,6.7
2023-08-17,Melbourne,8,229,21.5,10.8,10.7,2.3,6.4
2023-08-18,Melbourne,8,230,15.6,8.2,7.4,0.0,6.4
2023-08-19,Melbourne,8,231,14.5,7.6,6.9,0.0,6.0
2023-08-20,Melbourne,8,232,16.3,7.3,9.0,0.0,4.9
2023-08-21,Melbourne,8,233,14.3,8.0,6.3,1.6,4.9
2023-08-22,Melbourne,8,234,16.6,6.0,10.6,0.0,4.8
2023-08-23,Melbourne,8,235,11.4,3.7,7.7,0.0,4.9
2023-08-24,Melbourne,8,236,17.4,8.9,8.5,0.0,5.0
2023-08-25,Melbourne,8,237,11.2,3.8,7.4,2.2,5.6
2023-08-26,Melbourne,8,238,16.4,6.1,10.3,0.0,6.6
2023-08-27,Melbourne,8,239,10.6,0.8,9.8,0.7,5.4
2023-08-28,Melbourne,8,240,15.4,3.7,11.7,0.0,5.6
2023-08-29,Melbourne,8,241,15.4,6.2,9.2,0.0,5.8
2023-08-30,Melbourne,8,242,10.3,-1.6,11.9,1.7,5.6
2023-08-31,Melbourne,8,243,14.5,2.5,12.0,0.0,6.7
2023-09-01,Melbourne,9,244,12.2,3.0,9.2,0.0,4.9
2023-09-02,Melbourne,9,245,16.0,7.8,8.2,0.4,5.2
2023-09-03,Melbourne,9,246,15.2,6.6,8.6,1.7,5.7
2023-09-04,Melbourne,9,247,14.5,7.0,7.5,0.0,5.6
2023-09-05,Melbourne,9,248,18.6,10.7,7.9,1.2,5.5
2023-09-06,Melbourne,9,249,20.1,13.8,6.3,5.6,5.5
2023-09-07,Melbourne,9,250,15.7,9.3,6.4,0.1,6.8
2023-09-08,Melbourne,9,251,14.8,8.2,6.6,0.0,5.9
2023-09-09,Melbourne,9,252,15.7,4.3,11.4,0.0,5.6
2023-09-10,Melbourne,9,253,22.7,13.6,9.1,1.5,6.7
2023-09-11,Melbourne,9,254,18.0,8.7,9.3,0.0,4.9
2023-09-12,Melbourne,9,255,16.4,4.9,11.5,0.0,5.5
2023-09-13,Melbourne,9,256,18.5,9.1,9.4,0.0,6.5
2023-09-14,Melbourne,9,257,19.8,10.1,9.7,0.0,6.2
2023-09-15,Melbourne,9,258,19.8,8.6,11.2,0.3,5.5
2023-09-16,Melbourne,9,259,18.2,9.8,8.4,0.0,6.4
2023-09-17,Melbourne,9,260,17.9,7.3,10.6,0.0,5.9
2023-09-18,Melbourne,9,261,14.8,5.6,9.2,1.1,5.0
2023-09-19,Melbourne,9,262,17.9,6.6,11.3,0.0,6.0
2023-09-20,Melbourne,9,263,15.1,4.8,10.3,0.0,6.7
2023-09-21,Melbourne,9,264,21.2,9.5,11.7,0.0,6.6
2023-09-22,Melbourne,9,265,21.1,11.9,9.2,0.0,5.1
2023-09-23,Melbourne,9,266,15.6,5.0,10.6,0.0,6.2
2023-09-24,Melbourne,9,267,18.1,7.1,11.0,6.6,5.4
2023-09-25,Melbourne,9,268,14.4,7.4,7.0,0.0,4.8
2023-09-26,Melbourne,9,269,13.6,1.9,11.7,1.2,4.8
2023-09-27,Melbourne,9,270,21.8,13.2,8.6,0.0,5.1
2023-09-28,Melbourne,9,271,20.1,11.6,8.5,0.3,4.8
2023-09-29,Melbourne,9,272,14.9,4.3,10.6,0.0,5.4
2023-09-30,Melbourne,9,273,17.6,6.4,11.2,1.0,6.7
2023-10-01,Melbourne,10,274,18.8,11.1,7.7,0.0,5.6
2023-10-02,Melbourne,10,275,15.9,4.3,11.6,0.0,5.4
2023-10-03,Melbourne,10,276,23.6,17.1,6.5,0.0,6.3
2023-10-04,Melbourne,10,277,23.5,16.4,7.1,2.2,5.9
2023-10-05,Melbourne,10,278,17.0,7.3,9.7,0.0,5.6
2023-10-06,Melbourne,10,279,24.9,13.0,11.9,5.0,5.4
2023-10-07,Melbourne,10,280,19.4,10.3,9.1,5.9,6.2
2023-10-08,Melbourne,10,281,22.4,12.9,9.5,0.0,5.7
2023-10-09,Melbourne,10,282,18.7,10.1,8.6,0.0,5.2
2023-10-10,Melbourne,10,283,21.0,13.0,8.0,0.4,5.0
2023-10-11,Melbourne,10,284,17.7,9.2,8.5,0.0,6.4
2023-10-12,Melbourne,10,285,19.0,11.7,7.3,0.9,4.9
2023-10-13,Melbourne,10,286,19.6,9.1,10.5,0.0,6.4
2023-10-14,Melbourne,10,287,18.3,10.1,8.2,0.0,6.6
2023-10-15,Melbourne,10,288,19.1,9.4,9.7,0.0,6.0
2023-10-16,Melbourne,10,289,18.9,12.8,6.1,4.4,5.9
2023-10-17,Melbourne,10,290,19.2,10.8,8.4,0.0,6.0
2023-10-18,Melbourne,10,291,21.1,12.5,8.6,0.0,6.7
2023-10-19,Melbourne,10,292,18.1,11.8,6.3,0.0,5.2
2023-10-20,Melbourne,10,293,19.2,8.4,10.8,0.1,6.3
2023-10-21,Melbourne,10,294,18.3,8.5,9.8,0.0,6.3
2023-10-22,Melbourne,10,295,19.6,8.6,11.0,0.0,5.8
2023-10-23,Melbourne,10,296,21.1,14.9,6.2,0.0,6.1
2023-10-24,Melbourne,10,297,18.3,10.8,7.5,0.0,6.1
2023-10-25,Melbourne,10,298,19.6,8.8,10.8,0.0,5.4
2023-10-26,Melbourne,10,299,21.5,11.3,10.2,0.5,5.1
2023-10-27,Melbourne,10,300,18.6,11.4,7.2,0.0,6.7
2023-10-28,Melbourne,10,301,16.9,6.2,10.7,0.0,6.5
2023-10-29,Melbourne,10,302,21.9,12.7,9.2,0.0,5.2
2023-10-30,Melbourne,10,303,20.1,13.3,6.8,0.0,5.8
2023-10-31,Melbourne,10,304,22.7,15.7,7.0,0.2,5.9
2023-11-01,Melbourne,11,305,25.6,14.9,10.7,0.0,5.5
2023-11-02,Melbourne,11,306,22.0,11.5,10.5,0.0,5.8
2023-11-03,Melbourne,11,307,25.5,17.2,8.3,0.0,5.2
2023-11-04,Melbourne,11,308,24.4,15.7,8.7,0.2,6.4
2023-11-05,Melbourne,11,309,26.7,15.3,11.4,0.0,5.6
2023-11-06,Melbourne,11,310,26.4,18.7,7.7,0.0,6.6
2023-11-07,Melbourne,11,311,26.6,19.9,6.7,0.0,6.4
2023-11-08,Melbourne,11,312,18.2,11.2,7.0,0.7,5.2
2023-11-09,Melbourne,11,313,20.3,8.8,11.5,0.1,5.3
2023-11-10,Melbourne,11,314,22.1,10.9,11.2,0.0,5.3
2023-11-11,Melbourne,11,315,24.0,15.6,8.4,0.0,5.2
2023-11-12,Melbourne,11,316,22.4,11.5,10.9,0.0,6.5
2023-11-13,Melbourne,11,317,21.6,15.2,6.4,1.4,6.4
2023-11-14,Melbourne,11,318,26.4,19.4,7.0,0.0,5.7
2023-11-15,Melbourne,11,319,21.6,15.3,6.3,1.4,5.7
2023-11-16,Melbourne,11,320,23.5,11.7,11.8,0.0,6.6
2023-11-17,Melbourne,11,321,22.6,16.0,6.6,0.0,5.9
2023-11-18,Melbourne,11,322,25.9,18.3,7.6,0.0,6.5
2023-11-19,Melbourne,11,323,19.1,11.3,7.8,0.0,5.6
2023-11-20,Melbourne,11,324,22.3,12.8,9.5,1.6,6.8
2023-11-21,Melbourne,11,325,22.4,14.9,7.5,0.0,5.9
2023-11-22,Melbourne,11,326,25.2,14.6,10.6,2.2,6.8
2023-11-23,Melbourne,11,327,22.2,13.3,8.9,0.0,5.1
2023-11-24,Melbourne,11,328,20.0,13.9,6.1,3.7,5.3
2023-11-25,Melbourne,11,329,24.3,18.1,6.2,0.0,5.7
2023-11-26,Melbourne,11,330,21.0,12.4,8.6,0.0,5.6
2023-11-27,Melbourne,11,331,18.6,7.7,10.9,0.0,6.3
2023-11-28,Melbourne,11,332,22.8,16.5,6.3,0.0,5.8
2023-11-29,Melbourne,11,333,24.2,17.2,7.0,0.0,6.3
2023-11-30,Melbourne,11,334,23.0,14.6,8.4,0.1,6.3
2023-12-01,Melbourne,12,335,23.3,15.5,7.8,5.5,6.1
2023-12-02,Melbourne,12,336,20.6,9.3,11.3,0.0,6.4
2023-12-03,Melbourne,12,337,24.7,13.0,11.7,1.5,5.6
2023-12-04,Melbourne,12,338,25.7,15.4,10.3,1.8,6.2
2023-12-05,Melbourne,12,339,25.6,16.4,9.2,0.0,5.1
2023-12-06,Melbourne,12,340,23.5,16.8,6.7,0.0,5.7
2023-12-07,Melbourne,12,341,24.4,13.6,10.8,0.6,5.0
2023-12-08,Melbourne,12,342,26.7,15.7,11.0,0.0,5.7
2023-12-09,Melbourne,12,343,27.7,19.0,8.7,1.5,5.9
2023-12-10,Melbourne,12,344,24.0,13.5,10.5,0.0,6.8
2023-12-11,Melbourne,12,345,28.0,19.0,9.0,0.0,4.9
2023-12-12,Melbourne,12,346,22.8,15.1,7.7,0.0,5.1
2023-12-13,Melbourne,12,347,21.2,12.1,9.1,2.2,5.5
2023-12-14,Melbourne,12,348,22.9,16.6,6.3,0.0,6.3
2023-12-15,Melbourne,12,349,26.9,20.0,6.9,0.1,5.3
2023-12-16,Melbourne,12,350,26.5,16.1,10.4,5.5,5.8
2023-12-17,Melbourne,12,351,25.9,16.6,9.3,0.0,6.1
2023-12-18,Melbourne,12,352,28.1,19.6,8.5,0.0,5.3
2023-12-19,Melbourne,12,353,25.5,18.5,7.0,11.3,6.3
2023-12-20,Melbourne,12,354,23.1,15.1,8.0,0.0,5.8
2023-12-21,Melbourne,12,355,22.7,15.3,7.4,0.3,6.5
2023-12-22,Melbourne,12,356,22.6,12.0,10.6,0.0,6.0
2023-12-23,Melbourne,12,357,25.2,13.8,11.4,0.0,6.4
2023-12-24,Melbourne,12,358,21.9,14.4,7.5,6.0,5.8
2023-12-25,Melbourne,12,359,25.6,17.7,7.9,0.0,5.7
2023-12-26,Melbourne,12,360,27.6,20.7,6.9,0.0,6.8
2023-12-27,Melbourne,12,361,26.3,15.6,10.7,0.0,4.8
2023-12-28,Melbourne,12,362,27.5,16.0,11.5,0.1,6.1
2023-12-29,Melbourne,12,363,26.2,14.3,11.9,0.0,5.1
2023-12-30,Melbourne,12,364,23.8,16.1,7.7,0.0,6.0
2023-12-31,Melbourne,12,365,20.7,13.7,7.0,0.8,5.4
2024-01-01,Melbourne,1,1,25.8,15.1,10.7,0.5,5.8
2024-01-02,Melbourne,1,2,21.3,15.0,6.3,0.0,6.4
2024-01-03,Melbourne,1,3,21.0,9.6,11.4,0.0,5.5
2024-01-04,Melbourne,1,4,22.7,13.9,8.8,0.0,5.8
2024-01-05,Melbourne,1,5,29.6,19.6,10.0,0.0,6.1
2024-01-06,Melbourne,1,6,24.9,17.4,7.5,0.0,5.8
2024-01-07,Melbourne,1,7,26.2,15.4,10.8,0.1,6.1
2024-01-08,Melbourne,1,8,30.3,19.5,10.8,4.8,6.6
2024-01-09,Melbourne,1,9,29.4,18.0,11.4,0.0,5.3
2024-01-10,Melbourne,1,10,24.2,17.3,6.9,0.0,6.6
2024-01-11,Melbourne,1,11,27.7,18.6,9.1,0.0,6.2
