year,country_of_birth,visa_subclass,visa_category,settlement_state,processing_days
2019,NZ,500 Student,Student,NSW,480
2016,India,485 Temp Graduate,Temporary,NSW,601
2018,India,500 Student,Student,NSW,457
2018,Malaysia,485 Temp Graduate,Temporary,QLD,77
2018,India,820 Partner Temp,Family,VIC,608
2016,UK,500 Student,Student,NSW,115
2018,Germany,482 Temp Skill,Temporary,WA,512
2019,Pakistan,801 Partner Perm,Family,NSW,428
2022,Philippines,189 Skilled Indep,Skilled,NSW,377
2022,Philippines,500 Student,Student,NSW,445
2020,Bangladesh,500 Student,Student,QLD,659
2019,India,482 Temp Skill,Temporary,WA,259
2022,USA,820 Partner Temp,Family,VIC,436
2023,UK,400 Temp Work,Temporary,NSW,377
2022,Bangladesh,500 Student,Student,WA,158
2023,Sri Lanka,491 Skilled Regional,Skilled,SA,493
2024,Philippines,485 Temp Graduate,Temporary,NSW,316
2015,Sri Lanka,482 Temp Skill,Temporary,QLD,345
2023,South Korea,485 Temp Graduate,Temporary,SA,531
2017,India,500 Student,Student,NSW,501
2019,China,500 Student,Student,WA,593
2022,NZ,189 Skilled Indep,Skilled,SA,404
2022,Vietnam,143 Parent,Family,QLD,325
2016,Pakistan,482 Temp Skill,Temporary,NSW,611
2021,Malaysia,485 Temp Graduate,Temporary,VIC,87
2015,India,500 Student,Student,NSW,598
2018,Germany,485 Temp Graduate,Temporary,WA,47
2023,Vietnam,500 Student,Student,VIC,565
2019,Malaysia,500 Student,Student,NSW,576
2021,Germany,500 Student,Student,VIC,692
2022,India,500 Student,Student,VIC,675
2023,Philippines,190 Skilled Nom,Skilled,QLD,570
2022,India,482 Temp Skill,Temporary,QLD,135
2015,UK,200 Refugee,Humanitarian,VIC,342
2019,Pakistan,190 Skilled Nom,Skilled,TAS,515
2019,India,200 Refugee,Humanitarian,QLD,645
2015,Germany,500 Student,Student,VIC,304
2020,India,485 Temp Graduate,Temporary,WA,194
2021,Pakistan,485 Temp Graduate,Temporary,QLD,177
2023,China,485 Temp Graduate,Temporary,WA,228
2024,Vietnam,485 Temp Graduate,Temporary,NSW,62
2016,China,189 Skilled Indep,Skilled,NSW,711
2017,China,820 Partner Temp,Family,NSW,420
2021,Nepal,491 Skilled Regional,Skilled,SA,290
2016,Philippines,190 Skilled Nom,Skilled,ACT,396
2017,Philippines,400 Temp Work,Temporary,NSW,240
2021,Nepal,189 Skilled Indep,Skilled,QLD,359
2016,India,500 Student,Student,QLD,534
2022,USA,801 Partner Perm,Family,NSW,260
2023,China,189 Skilled Indep,Skilled,VIC,305
2015,Philippines,500 Student,Student,QLD,222
2020,China,801 Partner Perm,Family,QLD,287
2022,South Korea,190 Skilled Nom,Skilled,QLD,558
2024,Vietnam,189 Skilled Indep,Skilled,WA,415
2017,India,190 Skilled Nom,Skilled,SA,604
2016,Philippines,482 Temp Skill,Temporary,NSW,178
2023,Sri Lanka,820 Partner Temp,Family,VIC,371
2023,India,500 Student,Student,NSW,437
2017,India,485 Temp Graduate,Temporary,NSW,622
2019,India,485 Temp Graduate,Temporary,VIC,613
2022,Philippines,500 Student,Student,QLD,261
2023,Pakistan,482 Temp Skill,Temporary,NSW,393
2016,Malaysia,485 Temp Graduate,Temporary,VIC,223
2021,USA,485 Temp Graduate,Temporary,QLD,32
2023,Germany,143 Parent,Family,VIC,477
2020,India,500 Student,Student,VIC,279
2016,Nepal,190 Skilled Nom,Skilled,VIC,428
2015,Philippines,801 Partner Perm,Family,QLD,510
2017,Vietnam,500 Student,Student,VIC,465
2023,Germany,189 Skilled Indep,Skilled,QLD,506
2015,Bangladesh,485 Temp Graduate,Temporary,VIC,418
2015,UK,801 Partner Perm,Family,ACT,215
2018,UK,801 Partner Perm,Family,WA,723
2015,Philippines,482 Temp Skill,Temporary,VIC,643
2016,India,485 Temp Graduate,Temporary,ACT,247
2015,Germany,189 Skilled Indep,Skilled,TAS,168
2020,India,500 Student,Student,SA,494
2022,Philippines,482 Temp Skill,Temporary,QLD,671
2019,Germany,485 Temp Graduate,Temporary,VIC,535
2016,India,500 Student,Student,ACT,490
2018,Pakistan,143 Parent,Family,VIC,715
2021,Germany,801 Partner Perm,Family,VIC,475
2024,China,500 Student,Student,NSW,630
2024,China,189 Skilled Indep,Skilled,QLD,530
2017,India,485 Temp Graduate,Temporary,SA,146
2015,India,482 Temp Skill,Temporary,VIC,570
2023,USA,801 Partner Perm,Family,VIC,219
2024,Philippines,801 Partner Perm,Family,VIC,542
2019,China,189 Skilled Indep,Skilled,NSW,241
2022,India,500 Student,Student,SA,699
2023,Sri Lanka,500 Student,Student,VIC,725
2021,Vietnam,400 Temp Work,Temporary,WA,48
2023,Germany,820 Partner Temp,Family,VIC,375
2015,China,485 Temp Graduate,Temporary,VIC,468
2017,Philippines,820 Partner Temp,Family,TAS,664
2017,India,485 Temp Graduate,Temporary,NSW,63
2016,India,500 Student,Student,SA,598
2023,China,801 Partner Perm,Family,VIC,581
2015,India,190 Skilled Nom,Skilled,SA,590
2022,Germany,482 Temp Skill,Temporary,VIC,282
2015,Nepal,500 Student,Student,VIC,216
2018,South Korea,143 Parent,Family,VIC,682
2018,Philippines,400 Temp Work,Temporary,QLD,164
2016,India,485 Temp Graduate,Temporary,NSW,306
2020,Nepal,200 Refugee,Humanitarian,VIC,229
2020,Pakistan,200 Refugee,Humanitarian,NSW,590
2018,Sri Lanka,482 Temp Skill,Temporary,NSW,186
2022,UK,500 Student,Student,VIC,435
2016,UK,820 Partner Temp,Family,WA,240
2017,India,820 Partner Temp,Family,SA,64
2018,China,482 Temp Skill,Temporary,SA,708
2018,Philippines,143 Parent,Family,NSW,471
2017,Nepal,500 Student,Student,VIC,176
2023,Germany,400 Temp Work,Temporary,VIC,52
2023,India,190 Skilled Nom,Skilled,WA,173
2016,Sri Lanka,202 Global Special,Humanitarian,NSW,432
2018,Philippines,482 Temp Skill,Temporary,VIC,455
2017,South Korea,500 Student,Student,QLD,76
2019,China,485 Temp Graduate,Temporary,NSW,189
2017,Pakistan,485 Temp Graduate,Temporary,QLD,366
2020,Philippines,500 Student,Student,NSW,611
2024,Germany,500 Student,Student,VIC,272
2018,India,482 Temp Skill,Temporary,ACT,490
2021,Malaysia,500 Student,Student,NSW,721
2021,India,189 Skilled Indep,Skilled,NSW,113
2022,USA,202 Global Special,Humanitarian,ACT,58
2015,Philippines,202 Global Special,Humanitarian,NSW,436
2022,Pakistan,482 Temp Skill,Temporary,QLD,222
2024,China,400 Temp Work,Temporary,NSW,566
2021,Germany,189 Skilled Indep,Skilled,NSW,522
2017,Germany,400 Temp Work,Temporary,VIC,594
2022,China,485 Temp Graduate,Temporary,VIC,186
2022,Bangladesh,485 Temp Graduate,Temporary,VIC,188
2021,China,482 Temp Skill,Temporary,QLD,407
2016,USA,482 Temp Skill,Temporary,VIC,289
2024,India,400 Temp Work,Temporary,VIC,44
2024,Vietnam,482 Temp Skill,Temporary,VIC,267
2019,India,200 Refugee,Humanitarian,NSW,569
2021,Philippines,200 Refugee,Humanitarian,VIC,706
2015,NZ,190 Skilled Nom,Skilled,QLD,561
2024,India,485 Temp Graduate,Temporary,NSW,595
2023,China,801 Partner Perm,Family,VIC,326
2021,USA,143 Parent,Family,NSW,225
2022,Sri Lanka,485 Temp Graduate,Temporary,WA,692
2016,Philippines,200 Refugee,Humanitarian,QLD,687
2018,India,500 Student,Student,NSW,313
2017,China,500 Student,Student,VIC,247
2021,India,200 Refugee,Humanitarian,WA,627
2016,Pakistan,485 Temp Graduate,Temporary,VIC,234
2023,Vietnam,485 Temp Graduate,Temporary,VIC,661
2019,China,500 Student,Student,VIC,48
2019,India,189 Skilled Indep,Skilled,VIC,681
2016,Pakistan,500 Student,Student,NSW,513
2022,USA,500 Student,Student,QLD,358
2023,China,485 Temp Graduate,Temporary,VIC,286
2021,Malaysia,500 Student,Student,NSW,332
2017,India,400 Temp Work,Temporary,VIC,154
2022,Bangladesh,190 Skilled Nom,Skilled,NSW,465
2016,Nepal,190 Skilled Nom,Skilled,VIC,184
2023,Pakistan,485 Temp Graduate,Temporary,QLD,442
2021,Nepal,820 Partner Temp,Family,VIC,182
2017,Philippines,500 Student,Student,SA,629
2020,India,491 Skilled Regional,Skilled,QLD,708
2021,India,485 Temp Graduate,Temporary,SA,226
2017,India,801 Partner Perm,Family,VIC,263
2023,India,820 Partner Temp,Family,VIC,712
2019,Pakistan,485 Temp Graduate,Temporary,NSW,582
2023,Germany,500 Student,Student,NSW,394
2023,China,485 Temp Graduate,Temporary,NSW,582
2016,India,820 Partner Temp,Family,VIC,653
2021,Vietnam,482 Temp Skill,Temporary,VIC,650
2018,China,820 Partner Temp,Family,VIC,626
2022,UK,190 Skilled Nom,Skilled,NSW,462
2020,Indonesia,189 Skilled Indep,Skilled,VIC,359
2019,Nepal,189 Skilled Indep,Skilled,VIC,243
2023,Nepal,500 Student,Student,VIC,180
2015,Malaysia,485 Temp Graduate,Temporary,NSW,666
2020,Pakistan,801 Partner Perm,Family,VIC,493
2018,Germany,820 Partner Temp,Family,VIC,144
2015,China,189 Skilled Indep,Skilled,ACT,247
2022,Indonesia,485 Temp Graduate,Temporary,VIC,437
2021,Sri Lanka,482 Temp Skill,Temporary,SA,612
2023,Pakistan,801 Partner Perm,Family,VIC,421
2021,Philippines,500 Student,Student,VIC,612
2018,UK,500 Student,Student,SA,686
2024,Germany,143 Parent,Family,WA,480
2016,India,482 Temp Skill,Temporary,NSW,564
2015,Pakistan,500 Student,Student,NSW,145
2022,Malaysia,143 Parent,Family,VIC,600
2018,India,485 Temp Graduate,Temporary,VIC,549
2018,NZ,485 Temp Graduate,Temporary,VIC,309
2023,Indonesia,491 Skilled Regional,Skilled,VIC,348
2018,Pakistan,485 Temp Graduate,Temporary,QLD,403
2023,Malaysia,189 Skilled Indep,Skilled,QLD,508
2021,India,190 Skilled Nom,Skilled,QLD,229
2018,India,500 Student,Student,NSW,180
2015,Pakistan,500 Student,Student,NSW,667
2017,Nepal,200 Refugee,Humanitarian,NSW,510
2024,NZ,801 Partner Perm,Family,VIC,465
2018,Pakistan,820 Partner Temp,Family,QLD,270
2016,India,190 Skilled Nom,Skilled,NSW,392
2017,India,491 Skilled Regional,Skilled,SA,175
2023,Philippines,485 Temp Graduate,Temporary,NSW,494
2016,China,500 Student,Student,TAS,541
2022,Indonesia,400 Temp Work,Temporary,NSW,275
2016,Vietnam,190 Skilled Nom,Skilled,NSW,716
2024,Germany,485 Temp Graduate,Temporary,TAS,546
2020,UK,482 Temp Skill,Temporary,WA,623
2015,China,500 Student,Student,QLD,399
2024,India,500 Student,Student,NSW,157
2018,Philippines,190 Skilled Nom,Skilled,QLD,470
2022,India,143 Parent,Family,VIC,354
2020,Philippines,482 Temp Skill,Temporary,QLD,597
2016,Malaysia,485 Temp Graduate,Temporary,VIC,298
2016,USA,190 Skilled Nom,Skilled,VIC,532
2016,Vietnam,190 Skilled Nom,Skilled,QLD,545
2016,India,485 Temp Graduate,Temporary,VIC,496
2015,India,500 Student,Student,NSW,311
2015,Nepal,400 Temp Work,Temporary,SA,84
2024,China,482 Temp Skill,Temporary,NSW,35
2016,Philippines,200 Refugee,Humanitarian,QLD,356
2020,Nepal,820 Partner Temp,Family,NSW,585
2016,India,482 Temp Skill,Temporary,NSW,681
2017,Sri Lanka,189 Skilled Indep,Skilled,VIC,290
2022,Philippines,482 Temp Skill,Temporary,NSW,514
2024,Bangladesh,190 Skilled Nom,Skilled,NSW,117
2019,Bangladesh,482 Temp Skill,Temporary,VIC,502
2015,Pakistan,500 Student,Student,VIC,605
2024,India,189 Skilled Indep,Skilled,WA,325
2015,UK,190 Skilled Nom,Skilled,VIC,203
2018,China,801 Partner Perm,Family,QLD,114
2020,India,491 Skilled Regional,Skilled,NSW,160
2023,Nepal,820 Partner Temp,Family,WA,374
2023,India,202 Global Special,Humanitarian,VIC,637
2021,India,500 Student,Student,NSW,244
2018,China,500 Student,Student,VIC,316
2023,USA,200 Refugee,Humanitarian,QLD,726
2023,India,820 Partner Temp,Family,QLD,272
2023,UK,200 Refugee,Humanitarian,NSW,525
2022,Nepal,820 Partner Temp,Family,QLD,331
2016,Pakistan,485 Temp Graduate,Temporary,VIC,390
2017,Vietnam,500 Student,Student,VIC,638
2019,India,482 Temp Skill,Temporary,NSW,139
2020,China,820 Partner Temp,Family,VIC,720
2023,Bangladesh,189 Skilled Indep,Skilled,WA,261
2017,India,482 Temp Skill,Temporary,NSW,677
2021,India,189 Skilled Indep,Skilled,QLD,213
2018,Pakistan,189 Skilled Indep,Skilled,SA,615
2022,India,820 Partner Temp,Family,WA,201
2017,Philippines,500 Student,Student,VIC,505
2019,India,190 Skilled Nom,Skilled,NSW,250
2016,India,801 Partner Perm,Family,NSW,320
2017,China,820 Partner Temp,Family,QLD,562
2024,Nepal,500 Student,Student,SA,386
2018,UK,500 Student,Student,NSW,302
2023,Pakistan,485 Temp Graduate,Temporary,NSW,337
2020,Nepal,485 Temp Graduate,Temporary,NSW,482
2015,Vietnam,485 Temp Graduate,Temporary,WA,136
2022,India,820 Partner Temp,Family,WA,455
2015,India,143 Parent,Family,NSW,607
2023,Philippines,485 Temp Graduate,Temporary,VIC,657
2015,Philippines,485 Temp Graduate,Temporary,TAS,417
2022,Philippines,200 Refugee,Humanitarian,VIC,53
2016,China,482 Temp Skill,Temporary,ACT,517
2018,Pakistan,200 Refugee,Humanitarian,NSW,275
2024,Nepal,482 Temp Skill,Temporary,NSW,170
2019,China,485 Temp Graduate,Temporary,NSW,691
2021,Sri Lanka,189 Skilled Indep,Skilled,TAS,566
2022,Nepal,500 Student,Student,VIC,212
2016,Pakistan,500 Student,Student,QLD,456
2023,China,485 Temp Graduate,Temporary,VIC,549
2023,Nepal,482 Temp Skill,Temporary,NSW,678
2016,Philippines,801 Partner Perm,Family,VIC,691
2020,India,500 Student,Student,NSW,655
2017,India,485 Temp Graduate,Temporary,VIC,452
2022,India,491 Skilled Regional,Skilled,NSW,109
2015,Pakistan,190 Skilled Nom,Skilled,WA,375
2020,Nepal,190 Skilled Nom,Skilled,NSW,629
2022,NZ,500 Student,Student,TAS,494
2022,India,485 Temp Graduate,Temporary,VIC,705
2016,India,500 Student,Student,NSW,81
2023,India,500 Student,Student,QLD,416
2017,India,189 Skilled Indep,Skilled,VIC,306
2023,Nepal,500 Student,Student,NSW,391
2019,Germany,200 Refugee,Humanitarian,NSW,609
2016,UK,482 Temp Skill,Temporary,QLD,610
2022,Vietnam,801 Partner Perm,Family,WA,463
2023,China,202 Global Special,Humanitarian,WA,558
2022,China,400 Temp Work,Temporary,QLD,51
2024,Sri Lanka,485 Temp Graduate,Temporary,VIC,172
2017,China,500 Student,Student,QLD,233
2017,UK,400 Temp Work,Temporary,WA,91
2016,Malaysia,485 Temp Graduate,Temporary,SA,259
2020,India,801 Partner Perm,Family,VIC,276
2018,China,500 Student,Student,NSW,448
2018,Malaysia,500 Student,Student,ACT,705
2019,USA,491 Skilled Regional,Skilled,WA,701
2017,India,500 Student,Student,WA,496
2015,India,500 Student,Student,WA,103
2019,Germany,485 Temp Graduate,Temporary,WA,114
2017,Malaysia,500 Student,Student,SA,564
2019,Bangladesh,500 Student,Student,NSW,666
2024,UK,801 Partner Perm,Family,VIC,681
2016,India,485 Temp Graduate,Temporary,VIC,303
2021,Indonesia,485 Temp Graduate,Temporary,VIC,70
2021,Sri Lanka,491 Skilled Regional,Skilled,QLD,720
2017,Pakistan,491 Skilled Regional,Skilled,TAS,311
2019,Philippines,500 Student,Student,NSW,444
2024,Sri Lanka,500 Student,Student,VIC,289
2018,Nepal,482 Temp Skill,Temporary,VIC,385
2022,Nepal,491 Skilled Regional,Skilled,NSW,664
2023,Bangladesh,482 Temp Skill,Temporary,VIC,350
2018,South Korea,485 Temp Graduate,Temporary,NSW,700
2024,India,820 Partner Temp,Family,NSW,244
2021,NZ,143 Parent,Family,WA,285
2020,Nepal,200 Refugee,Humanitarian,VIC,693
2022,India,500 Student,Student,QLD,582
2019,Philippines,482 Temp Skill,Temporary,WA,424
2022,Nepal,485 Temp Graduate,Temporary,SA,722
2017,India,801 Partner Perm,Family,NSW,663
2024,Sri Lanka,485 Temp Graduate,Temporary,NSW,360
2020,China,491 Skilled Regional,Skilled,VIC,508
2017,Nepal,485 Temp Graduate,Temporary,VIC,390
2019,India,500 Student,Student,VIC,100
2023,NZ,485 Temp Graduate,Temporary,QLD,320
2023,South Korea,820 Partner Temp,Family,VIC,340
2019,China,500 Student,Student,NSW,417
2018,China,500 Student,Student,NSW,425
2018,China,190 Skilled Nom,Skilled,QLD,617
2024,Vietnam,500 Student,Student,VIC,477
2016,Malaysia,491 Skilled Regional,Skilled,QLD,262
2023,India,485 Temp Graduate,Temporary,NSW,687
2023,China,485 Temp Graduate,Temporary,QLD,467
2017,UK,485 Temp Graduate,Temporary,WA,484
2018,India,500 Student,Student,SA,339
2021,USA,482 Temp Skill,Temporary,QLD,296
2023,Germany,820 Partner Temp,Family,VIC,302
2024,Bangladesh,482 Temp Skill,Temporary,WA,647
2024,UK,500 Student,Student,VIC,371
2017,India,500 Student,Student,NSW,37
2017,India,485 Temp Graduate,Temporary,QLD,138
2019,India,801 Partner Perm,Family,NSW,701
2020,Philippines,202 Global Special,Humanitarian,WA,671
2021,Pakistan,485 Temp Graduate,Temporary,NSW,687
2016,Nepal,400 Temp Work,Temporary,QLD,449
2021,Philippines,400 Temp Work,Temporary,NSW,689
2024,UK,190 Skilled Nom,Skilled,QLD,586
2023,Philippines,400 Temp Work,Temporary,NSW,413
2024,USA,500 Student,Student,VIC,425
2024,India,491 Skilled Regional,Skilled,VIC,418
2024,India,400 Temp Work,Temporary,NSW,571
2015,India,500 Student,Student,VIC,269
2023,China,500 Student,Student,VIC,113
2017,India,400 Temp Work,Temporary,VIC,318
2018,India,482 Temp Skill,Temporary,VIC,31
2019,India,485 Temp Graduate,Temporary,WA,351
2024,NZ,485 Temp Graduate,Temporary,NSW,133
2021,China,500 Student,Student,VIC,248
2018,Philippines,190 Skilled Nom,Skilled,WA,543
2018,India,820 Partner Temp,Family,QLD,170
2023,Germany,820 Partner Temp,Family,VIC,636
2023,Indonesia,500 Student,Student,WA,445
2016,India,482 Temp Skill,Temporary,QLD,83
2017,India,485 Temp Graduate,Temporary,VIC,204
2018,Germany,491 Skilled Regional,Skilled,NSW,65
2017,India,482 Temp Skill,Temporary,QLD,561
2021,UK,482 Temp Skill,Temporary,VIC,160
2017,Bangladesh,485 Temp Graduate,Temporary,VIC,693
2021,India,820 Partner Temp,Family,NSW,619
2024,China,143 Parent,Family,QLD,277
2023,India,500 Student,Student,VIC,383
2016,India,485 Temp Graduate,Temporary,QLD,334
2017,Pakistan,202 Global Special,Humanitarian,SA,591
2018,India,200 Refugee,Humanitarian,QLD,366
2021,China,500 Student,Student,VIC,46
2018,Malaysia,190 Skilled Nom,Skilled,VIC,291
2017,Vietnam,190 Skilled Nom,Skilled,QLD,97
2018,Pakistan,189 Skilled Indep,Skilled,WA,362
2017,Vietnam,485 Temp Graduate,Temporary,QLD,236
2023,South Korea,500 Student,Student,VIC,150
2022,India,801 Partner Perm,Family,NSW,31
2018,China,143 Parent,Family,NSW,573
2022,NZ,491 Skilled Regional,Skilled,QLD,61
2020,NZ,820 Partner Temp,Family,WA,664
2020,Malaysia,820 Partner Temp,Family,QLD,481
2018,China,189 Skilled Indep,Skilled,NSW,391
2019,Philippines,189 Skilled Indep,Skilled,NSW,498
2024,Nepal,500 Student,Student,VIC,484
2022,Vietnam,189 Skilled Indep,Skilled,VIC,259
2023,China,189 Skilled Indep,Skilled,QLD,457
2016,Pakistan,482 Temp Skill,Temporary,NSW,241
2020,India,482 Temp Skill,Temporary,WA,474
2018,India,491 Skilled Regional,Skilled,NSW,155
2015,Vietnam,500 Student,Student,NSW,480
2018,India,820 Partner Temp,Family,NSW,592
2015,Germany,143 Parent,Family,QLD,690
2017,India,485 Temp Graduate,Temporary,NSW,529
2022,Nepal,500 Student,Student,NSW,304
2022,China,200 Refugee,Humanitarian,NSW,514
2022,Pakistan,482 Temp Skill,Temporary,QLD,404
2015,India,482 Temp Skill,Temporary,QLD,527
2016,Vietnam,485 Temp Graduate,Temporary,NSW,481
2015,China,500 Student,Student,SA,398
2016,China,482 Temp Skill,Temporary,QLD,198
2016,Indonesia,202 Global Special,Humanitarian,SA,229
2024,China,801 Partner Perm,Family,VIC,535
2023,India,801 Partner Perm,Family,QLD,470
2017,India,485 Temp Graduate,Temporary,VIC,101
2017,NZ,482 Temp Skill,Temporary,SA,659
2024,Bangladesh,485 Temp Graduate,Temporary,QLD,219
2021,NZ,820 Partner Temp,Family,NSW,44
2018,Vietnam,500 Student,Student,VIC,426
2019,India,202 Global Special,Humanitarian,SA,598
2017,South Korea,485 Temp Graduate,Temporary,WA,474
2021,Philippines,482 Temp Skill,Temporary,QLD,619
2022,Germany,200 Refugee,Humanitarian,ACT,378
2020,Philippines,400 Temp Work,Temporary,VIC,457
2023,Pakistan,485 Temp Graduate,Temporary,VIC,485
2016,Indonesia,400 Temp Work,Temporary,NSW,702
2021,UK,482 Temp Skill,Temporary,QLD,218
2024,Nepal,801 Partner Perm,Family,SA,281
2016,China,801 Partner Perm,Family,VIC,531
2019,UK,500 Student,Student,NSW,282
2021,Philippines,500 Student,Student,SA,525
2018,China,482 Temp Skill,Temporary,VIC,254
2024,Nepal,190 Skilled Nom,Skilled,SA,470
2019,Nepal,485 Temp Graduate,Temporary,TAS,716
2019,China,491 Skilled Regional,Skilled,NSW,364
2023,China,500 Student,Student,VIC,203
2015,USA,482 Temp Skill,Temporary,WA,218
2023,UK,482 Temp Skill,Temporary,QLD,32
2016,Philippines,202 Global Special,Humanitarian,SA,605
2018,Pakistan,500 Student,Student,NSW,370
2019,Bangladesh,500 Student,Student,ACT,134
2019,India,485 Temp Graduate,Temporary,VIC,177
2015,India,801 Partner Perm,Family,VIC,203
2018,India,485 Temp Graduate,Temporary,TAS,701
2018,UK,485 Temp Graduate,Temporary,VIC,49
2024,India,143 Parent,Family,QLD,476
2023,Philippines,400 Temp Work,Temporary,TAS,232
2021,Bangladesh,491 Skilled Regional,Skilled,VIC,381
2024,Philippines,482 Temp Skill,Temporary,QLD,549
2023,Philippines,482 Temp Skill,Temporary,VIC,304
2018,Germany,500 Student,Student,VIC,644
2016,Nepal,190 Skilled Nom,Skilled,NSW,104
2021,Philippines,400 Temp Work,Temporary,NSW,418
2018,Malaysia,189 Skilled Indep,Skilled,NSW,618
2015,Germany,482 Temp Skill,Temporary,VIC,252
2024,China,485 Temp Graduate,Temporary,NSW,94
2024,Pakistan,202 Global Special,Humanitarian,NSW,621
2020,Pakistan,189 Skilled Indep,Skilled,WA,543
2021,Nepal,500 Student,Student,SA,114
2021,UK,485 Temp Graduate,Temporary,QLD,264
2024,China,500 Student,Student,VIC,284
2019,UK,801 Partner Perm,Family,SA,225
2021,China,482 Temp Skill,Temporary,QLD,603
2017,Bangladesh,500 Student,Student,NSW,653
2017,India,482 Temp Skill,Temporary,WA,193
2020,Sri Lanka,500 Student,Student,VIC,451
2017,China,482 Temp Skill,Temporary,WA,121
2015,South Korea,482 Temp Skill,Temporary,SA,497
2018,India,482 Temp Skill,Temporary,VIC,354
2022,Philippines,485 Temp Graduate,Temporary,TAS,116
2017,India,189 Skilled Indep,Skilled,SA,635
2023,India,200 Refugee,Humanitarian,NSW,470
2022,Nepal,485 Temp Graduate,Temporary,VIC,450
2021,Sri Lanka,500 Student,Student,VIC,283
2023,China,500 Student,Student,VIC,378
2015,India,820 Partner Temp,Family,QLD,231
2016,UK,189 Skilled Indep,Skilled,VIC,209
2023,China,500 Student,Student,NSW,325
2023,Nepal,491 Skilled Regional,Skilled,VIC,567
2015,NZ,482 Temp Skill,Temporary,WA,723
2022,India,485 Temp Graduate,Temporary,NSW,30
2015,Nepal,200 Refugee,Humanitarian,ACT,418
2016,Nepal,500 Student,Student,NSW,48
